,AnimalID,Date,OutcomeType,AnimalType,SexuponOutcome,Color,AgeOutcomeDays
30,A718535,2016-01-01,Euthanasia,Cat,Spayed Female,Other,1095
31,A707341,2015-07-15,Transfer,Dog,Intact Male,Blackish,120
32,A682532,2014-07-03,Adoption,Cat,Spayed Female,Other,60
33,A666825,2013-11-08,Return_to_owner,Dog,Neutered Male,Brownish,1825
34,A699723,2015-04-11,Transfer,Dog,Neutered Male,Brownish,1095
35,A668626,2013-12-06,Euthanasia,Dog,Intact Male,Other,1095
36,A657085,2013-10-24,Return_to_owner,Dog,Neutered Male,Brownish,1095
37,A682413,2014-07-02,Transfer,Cat,Intact Male,Blueish,60
38,A702655,2015-08-11,Transfer,Cat,Neutered Male,Blackish,120
39,A707503,2015-07-14,Transfer,Cat,Intact Male,Brownish,21
40,A697199,2015-04-04,Adoption,Cat,Spayed Female,Blueish,2555
41,A705598,2015-06-23,Transfer,Cat,Intact Male,Orangeish,60
42,A668388,2013-12-09,Transfer,Cat,Intact Female,Brownish,60
43,A671181,2014-01-21,Transfer,Cat,Intact Male,Blackish,1460
44,A676766,2014-05-28,Adoption,Cat,Neutered Male,Blackish,730
45,A686716,2014-08-27,Return_to_owner,Dog,Neutered Male,Other,4380
46,A684475,2014-08-05,Return_to_owner,Cat,Spayed Female,Whitish,3285
47,A701804,2015-05-05,Transfer,Cat,Intact Female,Blackish,21
48,A697852,2015-03-09,Adoption,Dog,Spayed Female,Blackish,150
49,A666092,2013-10-30,Euthanasia,Dog,Intact Male,Brownish,2190
50,A684050,2014-07-28,Transfer,Cat,Intact Female,Other,365
51,A710107,2015-10-19,Adoption,Cat,Spayed Female,Brownish,90
52,A682347,2014-06-26,Transfer,Cat,Intact Female,Blueish,21
53,A701627,2015-05-14,Adoption,Dog,Neutered Male,Other,730
54,A690902,2014-11-18,Adoption,Cat,Spayed Female,Orangeish,60
55,A712979,2015-10-04,Transfer,Cat,Intact Male,Blackish,7
56,A707687,2015-08-16,Adoption,Cat,Spayed Female,Other,60
57,A683443,2014-07-18,Transfer,Dog,Intact Male,Brownish,365
58,A597644,2014-09-16,Return_to_owner,Dog,Spayed Female,Brownish,1460
59,A682784,2014-07-07,Adoption,Dog,Neutered Male,Brownish,730
60,A709863,2015-08-19,Transfer,Cat,Intact Male,Orangeish,365
61,A678506,2014-05-09,Euthanasia,Dog,Spayed Female,Brownish,4015
62,A713029,2015-10-06,Transfer,Cat,Intact Female,Blackish,30
63,A712236,2015-09-23,Adoption,Dog,Spayed Female,Brownish,730
64,A683961,2014-07-17,Transfer,Cat,Unknown,Blackish,14
65,A714740,2015-10-27,Return_to_owner,Dog,Spayed Female,Whitish,2190
66,A691847,2014-12-08,Transfer,Dog,Neutered Male,Blackish,180
67,A711392,2015-09-08,Transfer,Dog,Intact Female,Other,60
68,A705258,2015-06-16,Transfer,Cat,Unknown,Brownish,60
69,A678172,2014-05-10,Adoption,Dog,Spayed Female,Other,365
70,A676736,2014-04-30,Adoption,Dog,Neutered Male,Brownish,60
71,A701575,2016-01-29,Transfer,Dog,Neutered Male,Brownish,730
72,A674913,2014-03-25,Adoption,Dog,Spayed Female,Whitish,1095
73,A706446,2015-08-18,Return_to_owner,Cat,Intact Female,Blackish,365
74,A669540,2013-12-28,Return_to_owner,Dog,Spayed Female,Blueish,1460
75,A709371,2015-08-19,Transfer,Dog,Spayed Female,Brownish,730
76,A681410,2014-06-22,Adoption,Cat,Spayed Female,Brownish,90
77,A675021,2014-03-21,Euthanasia,Cat,Intact Female,Other,365
78,A704179,2015-06-07,Adoption,Dog,Neutered Male,Blackish,60
79,A717839,2015-12-20,Transfer,Cat,Spayed Female,Blackish,730
80,A700740,2015-12-17,Adoption,Dog,Neutered Male,Whitish,365
81,A712376,2015-09-22,Euthanasia,Cat,Unknown,Blueish,14
82,A703952,2015-05-30,Transfer,Cat,Unknown,Other,28
83,A713690,2015-10-12,Transfer,Cat,Intact Male,Blueish,730
84,A691838,2015-02-09,Euthanasia,Dog,Neutered Male,Brownish,4380
85,A687789,2014-09-14,Adoption,Dog,Neutered Male,Brownish,365
86,A704754,2015-07-18,Adoption,Cat,Neutered Male,Blackish,60
87,A707531,2015-07-14,Transfer,Cat,Intact Male,Blackish,14
88,A677594,2014-04-26,Transfer,Dog,Intact Female,Blackish,90
89,A667155,2013-11-18,Adoption,Cat,Spayed Female,Other,90
90,A717147,2015-12-15,Adoption,Dog,Neutered Male,Brownish,150
91,A687012,2016-02-07,Adoption,Dog,Spayed Female,Blackish,1095
92,A676200,2014-04-10,Transfer,Dog,Spayed Female,Whitish,2555
93,A676680,2015-02-06,Euthanasia,Dog,Spayed Female,Blackish,730
94,A688443,2014-12-29,Adoption,Cat,Spayed Female,Blackish,120
95,A715261,2015-11-15,Adoption,Dog,Spayed Female,Whitish,3285
96,A717008,2015-12-06,Transfer,Dog,Neutered Male,Blackish,210
97,A683416,2014-07-14,Adoption,Cat,Neutered Male,Blackish,60
98,A690658,2014-10-24,Transfer,Cat,Intact Male,Blackish,1095
99,A695155,2015-01-14,Adoption,Dog,Neutered Male,Other,1095
100,A679721,2014-05-29,Adoption,Dog,Neutered Male,Brownish,1825
101,A719113,2016-01-28,Transfer,Dog,Neutered Male,Brownish,1825
102,A665298,2013-10-16,Transfer,Cat,Intact Female,Blueish,14
103,A708351,2015-07-26,Transfer,Cat,Unknown,Blackish,14
104,A670681,2014-01-30,Transfer,Cat,Spayed Female,Other,1460
105,A699990,2015-04-08,Return_to_owner,Dog,Neutered Male,Brownish,1460
106,A707767,2015-07-19,Adoption,Cat,Neutered Male,Brownish,60
107,A668362,2013-12-20,Return_to_owner,Dog,Spayed Female,Blackish,730
108,A674577,2014-03-23,Adoption,Dog,Neutered Male,Whitish,730
109,A674802,2014-03-29,Return_to_owner,Dog,Neutered Male,Blackish,3285
110,A672410,2014-02-11,Return_to_owner,Dog,Neutered Male,Other,1825
111,A657753,2013-12-06,Euthanasia,Dog,Neutered Male,Other,365
112,A663339,2013-10-20,Adoption,Dog,Spayed Female,Other,730
113,A678229,2014-05-06,Transfer,Cat,Intact Male,Brownish,21
114,A698694,2015-07-06,Transfer,Dog,Intact Male,Whitish,150
115,A695971,2015-01-26,Euthanasia,Cat,Intact Male,Orangeish,2190
116,A674233,2014-03-22,Adoption,Dog,Spayed Female,Brownish,365
117,A713392,2015-11-05,Transfer,Dog,Intact Male,Blackish,90
118,A713968,2015-10-24,Transfer,Cat,Intact Female,Other,30
119,A701428,2015-05-03,Return_to_owner,Dog,Spayed Female,Brownish,1095
120,A676146,2014-04-14,Return_to_owner,Dog,Neutered Male,Blackish,1825
121,A679259,2014-05-26,Adoption,Dog,Neutered Male,Blackish,2920
122,A688223,2014-09-21,Adoption,Dog,Spayed Female,Blackish,60
123,A691968,2014-11-14,Euthanasia,Cat,Intact Female,Other,2555
124,A688871,2014-10-03,Adoption,Cat,Intact Female,Blackish,60
125,A674530,2014-09-11,Adoption,Dog,Neutered Male,Blackish,1825
126,A718604,2016-01-31,Adoption,Dog,Neutered Male,Whitish,365
127,A686520,2014-08-24,Transfer,Cat,Intact Male,Brownish,90
128,A699094,2015-03-22,Return_to_owner,Dog,Neutered Male,Brownish,730
129,A394547,2015-01-25,Return_to_owner,Dog,Spayed Female,Brownish,3285
130,A662685,2015-10-22,Adoption,Dog,Spayed Female,Other,1095
131,A713977,2015-10-26,Return_to_owner,Cat,Spayed Female,Other,1095
132,A707781,2016-01-15,Adoption,Dog,Spayed Female,Blackish,365
133,A694699,2015-01-09,Transfer,Dog,Spayed Female,Blackish,730
134,A696350,2015-12-15,Return_to_owner,Dog,Spayed Female,Brownish,365
135,A679102,2014-06-10,Transfer,Cat,Neutered Male,Other,730
136,A698341,2015-05-16,Return_to_owner,Dog,Spayed Female,Brownish,730
137,A681481,2014-06-18,Transfer,Cat,Intact Female,Blueish,730
138,A714177,2015-10-20,Transfer,Cat,Unknown,Other,90
139,A689601,2014-11-23,Adoption,Dog,Spayed Female,Other,30
140,A685062,2014-08-05,Adoption,Cat,Neutered Male,Orangeish,60
141,A672453,2014-02-16,Adoption,Cat,Neutered Male,Other,300
142,A719480,2016-02-09,Transfer,Cat,Spayed Female,Brownish,730
143,A702880,2015-06-28,Adoption,Cat,Spayed Female,Other,60
144,A714494,2015-11-01,Adoption,Dog,Neutered Male,Other,180
145,A711853,2015-11-07,Adoption,Cat,Spayed Female,Brownish,60
146,A688720,2014-09-26,Adoption,Dog,Spayed Female,Brownish,365
147,A689690,2014-10-22,Transfer,Dog,Intact Female,Brownish,180
148,A679915,2014-06-01,Adoption,Cat,Spayed Female,Blackish,365
149,A687991,2014-09-12,Transfer,Cat,Intact Male,Other,21
150,A707896,2016-02-19,Adoption,Cat,Neutered Male,Brownish,730
151,A702014,2015-11-14,Adoption,Dog,Spayed Female,Blueish,330
152,A673626,2014-03-03,Transfer,Dog,Neutered Male,Other,90
153,A652097,2014-02-10,Return_to_owner,Dog,Spayed Female,Brownish,730
154,A685180,2014-09-27,Transfer,Dog,Neutered Male,Other,730
155,A707442,2015-08-15,Adoption,Dog,Neutered Male,Brownish,730
156,A682599,2014-07-03,Adoption,Cat,Spayed Female,Other,120
157,A685452,2014-08-11,Transfer,Dog,Intact Female,Other,120
158,A688067,2014-09-15,Transfer,Cat,Intact Female,Other,150
159,A714069,2015-12-16,Adoption,Cat,Neutered Male,Blackish,60
160,A705924,2015-07-29,Transfer,Dog,Neutered Male,Brownish,2555
161,A717167,2016-01-23,Adoption,Cat,Neutered Male,Blackish,1460
162,A711639,2015-09-10,Transfer,Cat,Intact Female,Other,21
163,A716760,2015-12-06,Adoption,Dog,Neutered Male,Blackish,180
164,A709048,2015-08-08,Adoption,Dog,Intact Female,Blackish,150
165,A719048,2016-01-13,Return_to_owner,Dog,Spayed Female,Whitish,2920
166,A707437,2015-07-19,Adoption,Cat,Neutered Male,Blackish,60
167,A706387,2015-07-06,Adoption,Cat,Spayed Female,Blueish,30
168,A720668,2016-02-15,Return_to_owner,Dog,Spayed Female,Whitish,150
169,A679341,2014-05-31,Transfer,Cat,Intact Male,Brownish,30
170,A690519,2014-10-23,Transfer,Cat,Intact Male,Blueish,120
171,A708769,2015-08-01,Adoption,Dog,Spayed Female,Whitish,365
172,A681462,2014-08-10,Adoption,Dog,Neutered Male,Blackish,730
173,A666444,2013-11-04,Transfer,Cat,Spayed Female,Other,4015
174,A701153,2015-06-25,Adoption,Dog,Neutered Male,Other,60
175,A710071,2015-09-01,Transfer,Cat,Neutered Male,Whitish,60
176,A714602,2015-10-29,Adoption,Cat,Intact Female,Brownish,60
177,A700707,2015-04-20,Adoption,Dog,Spayed Female,Blackish,30
178,A702563,2015-05-25,Return_to_owner,Dog,Spayed Female,Whitish,2555
179,A679441,2014-05-21,Transfer,Cat,Intact Male,Other,4
180,A715729,2015-11-09,Return_to_owner,Dog,Neutered Male,Whitish,1460
181,A716575,2015-12-22,Transfer,Dog,Spayed Female,Brownish,730
182,A714462,2015-11-14,Return_to_owner,Dog,Spayed Female,Whitish,365
183,A717429,2015-12-09,Return_to_owner,Dog,Neutered Male,Brownish,730
184,A687336,2014-09-03,Transfer,Cat,Intact Female,Brownish,28
185,A713364,2015-11-13,Transfer,Cat,Intact Female,Blackish,365
186,A701999,2015-05-12,Adoption,Dog,Spayed Female,Brownish,730
187,A664304,2013-10-03,Transfer,Cat,Intact Male,Orangeish,300
188,A698066,2015-03-07,Transfer,Dog,Spayed Female,Whitish,1460
189,A680585,2014-07-16,Adoption,Cat,Spayed Female,Brownish,120
190,A699715,2015-05-13,Transfer,Dog,Spayed Female,Whitish,2190
191,A702246,2015-05-15,Adoption,Dog,Spayed Female,Blackish,270
192,A711918,2015-09-19,Adoption,Dog,Spayed Female,Other,1095
193,A676430,2014-11-23,Adoption,Cat,Spayed Female,Other,240
194,A677577,2014-05-01,Adoption,Dog,Spayed Female,Other,300
195,A683666,2015-09-01,Transfer,Cat,Neutered Male,Whitish,365
196,A713754,2015-10-27,Adoption,Dog,Neutered Male,Blueish,365
197,A703631,2015-07-03,Adoption,Dog,Neutered Male,Blackish,365
198,A676209,2014-07-24,Adoption,Dog,Neutered Male,Other,90
199,A667508,2013-11-19,Return_to_owner,Dog,Intact Male,Brownish,2190
200,A671105,2014-01-21,Transfer,Cat,Unknown,Blackish,365
201,A676056,2014-04-10,Return_to_owner,Dog,Neutered Male,Brownish,730
202,A667963,2013-11-30,Adoption,Dog,Spayed Female,Brownish,1825
203,A702207,2015-05-10,Euthanasia,Cat,Neutered Male,Orangeish,4380
204,A672065,2014-04-08,Adoption,Dog,Spayed Female,Other,730
205,A688852,2014-10-18,Adoption,Dog,Neutered Male,Blackish,2190
206,A705885,2015-06-27,Adoption,Cat,Neutered Male,Blackish,90
207,A670949,2014-02-01,Return_to_owner,Dog,Spayed Female,Other,240
208,A665666,2013-12-27,Transfer,Cat,Neutered Male,Blackish,365
209,A714575,2015-10-31,Transfer,Cat,Intact Female,Blackish,5475
210,A690480,2014-10-22,Transfer,Dog,Intact Female,Brownish,21
211,A691636,2014-11-13,Adoption,Dog,Neutered Male,Whitish,150
212,A678482,2014-05-14,Adoption,Dog,Neutered Male,Blackish,730
213,A687785,2014-12-30,Adoption,Dog,Spayed Female,Brownish,730
214,A716839,2015-11-27,Return_to_owner,Dog,Intact Male,Brownish,730
215,A718547,2016-01-11,Adoption,Dog,Spayed Female,Brownish,730
216,A687989,2014-09-12,Transfer,Cat,Intact Female,Other,21
217,A694408,2015-05-28,Transfer,Dog,Spayed Female,Brownish,365
218,A698940,2015-03-21,Transfer,Cat,Intact Male,Brownish,730
219,A666074,2013-10-30,Transfer,Cat,Intact Male,Brownish,28
220,A675549,2014-04-08,Transfer,Dog,Neutered Male,Whitish,1460
221,A682131,2014-06-24,Transfer,Cat,Intact Male,Brownish,21
222,A674737,2014-05-27,Adoption,Cat,Intact Male,Blackish,60
223,A719876,2016-02-02,Transfer,Dog,Spayed Female,Whitish,365
224,A676626,2014-05-30,Adoption,Dog,Spayed Female,Brownish,60
225,A666478,2013-11-04,Adoption,Dog,Spayed Female,Blackish,365
226,A683507,2014-07-15,Adoption,Dog,Spayed Female,Other,1095
227,A487470,2014-01-20,Euthanasia,Dog,Neutered Male,Blackish,3285
228,A665661,2015-09-07,Return_to_owner,Cat,Spayed Female,Whitish,730
229,A668260,2013-12-02,Transfer,Dog,Spayed Female,Blackish,1825
230,A716964,2015-11-29,Return_to_owner,Dog,Intact Male,Blackish,730
231,A701029,2015-05-01,Return_to_owner,Dog,Neutered Male,Brownish,730
232,A668506,2015-11-03,Return_to_owner,Dog,Neutered Male,Brownish,2555
233,A684709,2014-07-28,Transfer,Cat,Intact Female,Brownish,365
234,A616229,2015-11-21,Adoption,Cat,Spayed Female,Blackish,2190
235,A680336,2014-07-12,Adoption,Cat,Neutered Male,Orangeish,60
236,A701898,2015-05-10,Return_to_owner,Dog,Spayed Female,Brownish,365
237,A666971,2013-11-14,Adoption,Cat,Neutered Male,Orangeish,60
238,A691605,2014-11-08,Return_to_owner,Dog,Spayed Female,Brownish,2190
239,A703244,2015-05-26,Transfer,Cat,Intact Male,Brownish,60
240,A705111,2015-06-24,Adoption,Dog,Spayed Female,Brownish,730
241,A685460,2014-08-19,Adoption,Cat,Neutered Male,Other,2555
242,A716890,2015-12-06,Adoption,Cat,Spayed Female,Brownish,90
243,A715741,2015-11-19,Adoption,Dog,Neutered Male,Other,1095
244,A676334,2014-04-22,Transfer,Cat,Intact Female,Blackish,730
245,A668122,2013-12-01,Adoption,Dog,Spayed Female,Other,2555
246,A702356,2015-05-24,Euthanasia,Cat,Intact Male,Whitish,30
247,A664842,2013-11-09,Return_to_owner,Dog,Spayed Female,Brownish,730
248,A709067,2015-08-05,Return_to_owner,Dog,Intact Female,Blackish,150
249,A608918,2015-06-02,Transfer,Dog,Neutered Male,Blackish,1460
250,A651596,2014-03-06,Return_to_owner,Dog,Neutered Male,Other,730
251,A720190,2016-02-07,Transfer,Dog,Spayed Female,Other,2555
252,A676609,2014-07-06,Adoption,Dog,Neutered Male,Brownish,365
253,A666504,2013-12-11,Transfer,Cat,Neutered Male,Orangeish,30
254,A693272,2015-01-31,Adoption,Dog,Neutered Male,Blackish,30
255,A711607,2015-09-20,Adoption,Cat,Neutered Male,Whitish,60
256,A713337,2015-10-06,Transfer,Cat,Intact Female,Blueish,1095
257,A672758,2014-07-16,Transfer,Dog,Spayed Female,Brownish,1460
258,A658690,2013-10-19,Adoption,Dog,Spayed Female,Blackish,365
259,A708390,2015-08-02,Adoption,Dog,Spayed Female,Blackish,730
260,A703383,2015-05-28,Transfer,Dog,Spayed Female,Other,3650
261,A689749,2014-10-18,Adoption,Cat,Neutered Male,Brownish,60
262,A699816,2015-04-11,Adoption,Dog,Spayed Female,Brownish,3650
263,A701791,2015-07-19,Adoption,Cat,Spayed Female,Brownish,730
264,A625690,2014-07-21,Return_to_owner,Dog,Spayed Female,Whitish,2555
265,A686406,2014-08-25,Adoption,Dog,Neutered Male,Brownish,365
266,A710318,2015-09-17,Transfer,Dog,Neutered Male,Brownish,1825
267,A698972,2015-03-23,Return_to_owner,Dog,Spayed Female,Blackish,2190
268,A710380,2015-08-22,Transfer,Cat,Unknown,Brownish,7
269,A683309,2014-07-17,Euthanasia,Dog,Spayed Female,Brownish,2555
270,A640316,2013-10-02,Adoption,Dog,Neutered Male,Blackish,365
271,A682760,2014-07-10,Adoption,Dog,Neutered Male,Whitish,365
272,A701707,2015-05-03,Transfer,Cat,Intact Female,Orangeish,14
273,A669534,2013-12-24,Transfer,Cat,Intact Female,Orangeish,365
274,A588218,2014-12-03,Return_to_owner,Dog,Neutered Male,Blackish,1825
275,A669795,2014-08-11,Return_to_owner,Dog,Spayed Female,Blackish,730
276,A674448,2014-03-18,Adoption,Dog,Neutered Male,Whitish,300
277,A701647,2015-05-25,Transfer,Cat,Intact Female,Blackish,90
278,A672467,2014-02-14,Adoption,Dog,Neutered Male,Other,270
279,A712244,2015-09-21,Transfer,Cat,Intact Female,Blackish,30
280,A677462,2014-04-25,Transfer,Cat,Unknown,Blueish,0
281,A715761,2015-11-10,Transfer,Cat,Spayed Female,Other,1825
282,A720860,2016-02-20,Adoption,Dog,Spayed Female,Brownish,240
283,A701337,2015-04-30,Transfer,Dog,Intact Male,Other,365
284,A710881,2015-10-14,Adoption,Cat,Spayed Female,Orangeish,60
285,A663948,2013-10-08,Return_to_owner,Cat,Neutered Male,Blackish,90
286,A699819,2015-04-06,Return_to_owner,Dog,Intact Male,Brownish,5110
287,A674638,2014-03-16,Return_to_owner,Dog,Neutered Male,Brownish,2555
288,A718743,2016-01-10,Adoption,Dog,Neutered Male,Other,730
289,A714820,2015-11-05,Transfer,Dog,Spayed Female,Brownish,180
290,A667613,2014-01-13,Adoption,Dog,Neutered Male,Brownish,330
291,A696059,2015-02-05,Adoption,Dog,Neutered Male,Brownish,1095
292,A690806,2014-11-07,Transfer,Cat,Intact Female,Blackish,60
293,A676494,2014-04-27,Adoption,Dog,Neutered Male,Blackish,365
294,A689138,2014-09-29,Euthanasia,Cat,Intact Female,Blueish,28
295,A599155,2015-03-28,Euthanasia,Dog,Neutered Male,Whitish,1460
296,A665587,2013-11-27,Adoption,Cat,Neutered Male,Orangeish,2920
297,A663555,2013-10-16,Adoption,Cat,Spayed Female,Other,90
298,A691345,2014-11-09,Adoption,Dog,Spayed Female,Brownish,60
299,A685242,2014-08-15,Adoption,Cat,Spayed Female,Other,120
300,A674659,2014-03-21,Euthanasia,Dog,Intact Male,Brownish,730
301,A683609,2014-07-17,Return_to_owner,Dog,Neutered Male,Brownish,2190
302,A695710,2015-08-02,Transfer,Dog,Spayed Female,Brownish,330
303,A713063,2015-10-08,Transfer,Dog,Spayed Female,Brownish,365
304,A667520,2013-11-23,Transfer,Dog,Neutered Male,Other,1460
305,A685145,2014-09-13,Adoption,Cat,Neutered Male,Blueish,60
306,A716488,2015-11-23,Transfer,Dog,Neutered Male,Other,730
307,A667537,2013-11-25,Adoption,Dog,Spayed Female,Other,60
308,A694601,2015-01-06,Adoption,Cat,Neutered Male,Blackish,180
309,A638060,2015-08-16,Adoption,Cat,Neutered Male,Blackish,2920
310,A672067,2014-02-13,Return_to_owner,Cat,Neutered Male,Brownish,1095
311,A684664,2014-08-10,Adoption,Dog,Neutered Male,Brownish,730
312,A691531,2014-11-07,Transfer,Dog,Intact Male,Whitish,60
313,A688600,2014-09-21,Transfer,Cat,Intact Female,Other,21
314,A704032,2015-06-05,Adoption,Cat,Spayed Female,Brownish,60
315,A703630,2015-06-30,Adoption,Dog,Neutered Male,Brownish,1460
316,A668671,2013-12-16,Transfer,Cat,Neutered Male,Brownish,1825
317,A696247,2015-11-22,Adoption,Dog,Spayed Female,Brownish,730
318,A664380,2013-10-03,Transfer,Cat,Intact Female,Other,180
319,A678185,2014-05-09,Transfer,Dog,Spayed Female,Blackish,730
320,A687055,2014-09-01,Return_to_owner,Dog,Spayed Female,Other,3650
321,A693594,2014-12-12,Transfer,Cat,Intact Male,Blackish,180
322,A675563,2014-04-01,Transfer,Cat,Intact Female,Other,60
323,A696819,2015-02-21,Adoption,Dog,Neutered Male,Other,180
324,A671201,2014-01-25,Return_to_owner,Dog,Neutered Male,Other,2920
325,A715573,2015-11-12,Adoption,Dog,Neutered Male,Other,180
326,A685899,2014-08-14,Transfer,Cat,Intact Male,Other,90
327,A669510,2014-01-01,Adoption,Dog,Spayed Female,Blackish,365
328,A697892,2015-03-16,Adoption,Dog,Spayed Female,Brownish,365
329,A678958,2014-05-19,Adoption,Dog,Neutered Male,Other,60
330,A679113,2014-05-16,Transfer,Cat,Unknown,Blueish,14
331,A671079,2014-01-25,Adoption,Dog,Spayed Female,Brownish,730
332,A687180,2014-09-08,Adoption,Cat,Spayed Female,Orangeish,60
333,A686632,2014-09-02,Return_to_owner,Cat,Neutered Male,Whitish,270
334,A693999,2014-12-23,Transfer,Dog,Spayed Female,Blackish,1460
335,A691614,2014-11-12,Adoption,Dog,Neutered Male,Other,120
336,A683070,2014-07-06,Transfer,Cat,Intact Male,Whitish,3
337,A703781,2015-05-30,Transfer,Dog,Intact Male,Blueish,2190
338,A668803,2014-01-11,Adoption,Dog,Spayed Female,Blackish,60
339,A675983,2014-04-03,Transfer,Cat,Intact Female,Blueish,240
340,A684825,2014-08-06,Transfer,Cat,Intact Male,Blackish,30
341,A667828,2013-11-26,Transfer,Cat,Intact Female,Blackish,120
342,A707611,2015-07-31,Adoption,Cat,Intact Female,Other,60
343,A677885,2014-05-12,Return_to_owner,Dog,Intact Female,Other,730
344,A675622,2014-04-04,Adoption,Dog,Neutered Male,Other,120
345,A720143,2016-02-08,Transfer,Cat,Intact Male,Brownish,365
346,A701793,2015-07-16,Adoption,Cat,Spayed Female,Other,90
347,A682824,2014-07-08,Transfer,Cat,Intact Male,Blackish,60
348,A711494,2015-12-24,Adoption,Cat,Spayed Female,Orangeish,120
349,A686319,2015-06-14,Adoption,Dog,Neutered Male,Brownish,1825
350,A671251,2014-01-23,Return_to_owner,Dog,Spayed Female,Other,730
351,A684978,2014-07-31,Transfer,Cat,Intact Female,Brownish,14
352,A689449,2014-11-18,Adoption,Cat,Spayed Female,Blackish,60
353,A715812,2015-11-15,Adoption,Dog,Spayed Female,Brownish,300
354,A681003,2014-06-17,Transfer,Dog,Neutered Male,Blackish,730
355,A715346,2015-11-09,Adoption,Dog,Spayed Female,Whitish,300
356,A683732,2014-07-25,Transfer,Cat,Intact Male,Blueish,28
357,A679956,2014-06-08,Return_to_owner,Dog,Neutered Male,Other,365
358,A695297,2015-01-19,Adoption,Cat,Spayed Female,Brownish,210
359,A695950,2015-02-13,Adoption,Dog,Spayed Female,Brownish,730
360,A694278,2015-01-02,Transfer,Dog,Spayed Female,Blackish,2555
361,A707887,2015-07-22,Adoption,Cat,Neutered Male,Brownish,60
362,A710227,2015-08-24,Euthanasia,Cat,Neutered Male,Blackish,4380
363,A686918,2014-09-02,Transfer,Dog,Intact Female,Other,1095
364,A693739,2014-12-19,Transfer,Cat,Spayed Female,Blackish,90
365,A711807,2015-10-23,Adoption,Dog,Spayed Female,Other,730
366,A677157,2014-04-22,Return_to_owner,Dog,Intact Female,Other,4380
367,A697921,2015-03-16,Adoption,Dog,Spayed Female,Blackish,365
368,A686691,2014-08-29,Transfer,Dog,Neutered Male,Other,1095
369,A678627,2014-05-25,Adoption,Cat,Spayed Female,Other,30
370,A698117,2015-03-06,Transfer,Dog,Unknown,Whitish,6
371,A656110,2013-11-22,Return_to_owner,Dog,Spayed Female,Other,270
372,A690723,2014-11-23,Adoption,Cat,Spayed Female,Blackish,60
373,A678099,2015-06-10,Euthanasia,Dog,Neutered Male,Brownish,730
374,A717989,2015-12-28,Return_to_owner,Dog,Neutered Male,Whitish,2555
375,A673784,2014-03-10,Transfer,Dog,Neutered Male,Blueish,120
376,A699927,2015-05-26,Adoption,Cat,Neutered Male,Orangeish,3650
377,A671889,2014-02-27,Return_to_owner,Dog,Spayed Female,Brownish,1825
378,A697627,2015-03-01,Adoption,Dog,Spayed Female,Brownish,730
379,A685945,2014-09-20,Adoption,Dog,Neutered Male,Brownish,1825
380,A689951,2014-10-15,Adoption,Cat,Neutered Male,Other,150
381,A699499,2015-04-01,Adoption,Cat,Neutered Male,Blackish,365
382,A715735,2015-11-13,Transfer,Dog,Intact Male,Other,365
383,A688501,2014-12-18,Transfer,Cat,Neutered Male,Blackish,120
