,AnimalID,Date,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
26,A718832,2016-01-15,Adoption,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
27,A698777,2015-03-25,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
28,A715348,2015-11-21,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
29,A708666,2015-07-30,Return_to_owner,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
30,A718535,2016-01-01,Euthanasia,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
31,A707341,2015-07-15,Transfer,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
32,A682532,2014-07-03,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
33,A666825,2013-11-08,Return_to_owner,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
34,A699723,2015-04-11,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
35,A668626,2013-12-06,Euthanasia,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
36,A657085,2013-10-24,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
37,A682413,2014-07-02,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
38,A702655,2015-08-11,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
39,A707503,2015-07-14,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
40,A697199,2015-04-04,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
41,A705598,2015-06-23,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
42,A668388,2013-12-09,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
43,A671181,2014-01-21,Transfer,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
44,A676766,2014-05-28,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
45,A686716,2014-08-27,Return_to_owner,Dog,Neutered Male,12 years,Beagle,Tricolor
46,A684475,2014-08-05,Return_to_owner,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
47,A701804,2015-05-05,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
48,A697852,2015-03-09,Adoption,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
49,A666092,2013-10-30,Euthanasia,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
50,A684050,2014-07-28,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
51,A710107,2015-10-19,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
52,A682347,2014-06-26,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
53,A701627,2015-05-14,Adoption,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
54,A690902,2014-11-18,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
55,A712979,2015-10-04,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
56,A707687,2015-08-16,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
57,A683443,2014-07-18,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
58,A597644,2014-09-16,Return_to_owner,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
59,A682784,2014-07-07,Adoption,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
60,A709863,2015-08-19,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
61,A678506,2014-05-09,Euthanasia,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
62,A713029,2015-10-06,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
63,A712236,2015-09-23,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
64,A683961,2014-07-17,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
65,A714740,2015-10-27,Return_to_owner,Dog,Spayed Female,6 years,Maltese Mix,White
66,A691847,2014-12-08,Transfer,Dog,Neutered Male,6 months,Pointer Mix,Black/White
67,A711392,2015-09-08,Transfer,Dog,Intact Female,2 months,English Foxhound,Buff
68,A705258,2015-06-16,Transfer,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
69,A678172,2014-05-10,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
70,A676736,2014-04-30,Adoption,Dog,Neutered Male,2 months,Vizsla Mix,Brown
71,A701575,2016-01-29,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
72,A674913,2014-03-25,Adoption,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
73,A706446,2015-08-18,Return_to_owner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
74,A669540,2013-12-28,Return_to_owner,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
75,A709371,2015-08-19,Transfer,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
76,A681410,2014-06-22,Adoption,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
77,A675021,2014-03-21,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
78,A704179,2015-06-07,Adoption,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
79,A717839,2015-12-20,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
80,A700740,2015-12-17,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
81,A712376,2015-09-22,Euthanasia,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
82,A703952,2015-05-30,Transfer,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
83,A713690,2015-10-12,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
84,A691838,2015-02-09,Euthanasia,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
85,A687789,2014-09-14,Adoption,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
86,A704754,2015-07-18,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
87,A707531,2015-07-14,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
88,A677594,2014-04-26,Transfer,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
89,A667155,2013-11-18,Adoption,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
90,A717147,2015-12-15,Adoption,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
91,A687012,2016-02-07,Adoption,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
92,A676200,2014-04-10,Transfer,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
93,A676680,2015-02-06,Euthanasia,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
94,A688443,2014-12-29,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
95,A715261,2015-11-15,Adoption,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
96,A717008,2015-12-06,Transfer,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
97,A683416,2014-07-14,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
98,A690658,2014-10-24,Transfer,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
99,A695155,2015-01-14,Adoption,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
100,A679721,2014-05-29,Adoption,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
101,A719113,2016-01-28,Transfer,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
102,A665298,2013-10-16,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
103,A708351,2015-07-26,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
104,A670681,2014-01-30,Transfer,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
105,A699990,2015-04-08,Return_to_owner,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
106,A707767,2015-07-19,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
107,A668362,2013-12-20,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
108,A674577,2014-03-23,Adoption,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
109,A674802,2014-03-29,Return_to_owner,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
110,A672410,2014-02-11,Return_to_owner,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
111,A657753,2013-12-06,Euthanasia,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
112,A663339,2013-10-20,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
113,A678229,2014-05-06,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
114,A698694,2015-07-06,Transfer,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
115,A695971,2015-01-26,Euthanasia,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
116,A674233,2014-03-22,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
117,A713392,2015-11-05,Transfer,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
118,A713968,2015-10-24,Transfer,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
119,A701428,2015-05-03,Return_to_owner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
120,A676146,2014-04-14,Return_to_owner,Dog,Neutered Male,5 years,Dachshund Mix,Black
121,A679259,2014-05-26,Adoption,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
122,A688223,2014-09-21,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
123,A691968,2014-11-14,Euthanasia,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
124,A688871,2014-10-03,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
125,A674530,2014-09-11,Adoption,Dog,Neutered Male,5 years,Pit Bull,Black
126,A718604,2016-01-31,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
127,A686520,2014-08-24,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
128,A699094,2015-03-22,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
129,A394547,2015-01-25,Return_to_owner,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
130,A662685,2015-10-22,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
131,A713977,2015-10-26,Return_to_owner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
132,A707781,2016-01-15,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
133,A694699,2015-01-09,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
134,A696350,2015-12-15,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
135,A679102,2014-06-10,Transfer,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
136,A698341,2015-05-16,Return_to_owner,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
137,A681481,2014-06-18,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
138,A714177,2015-10-20,Transfer,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
139,A689601,2014-11-23,Adoption,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
140,A685062,2014-08-05,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
141,A672453,2014-02-16,Adoption,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
142,A719480,2016-02-09,Transfer,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
143,A702880,2015-06-28,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
144,A714494,2015-11-01,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
145,A711853,2015-11-07,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
146,A688720,2014-09-26,Adoption,Dog,Spayed Female,1 year,Dachshund Mix,Tan
147,A689690,2014-10-22,Transfer,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
148,A679915,2014-06-01,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
149,A687991,2014-09-12,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
150,A707896,2016-02-19,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
151,A702014,2015-11-14,Adoption,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
152,A673626,2014-03-03,Transfer,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
153,A652097,2014-02-10,Return_to_owner,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
154,A685180,2014-09-27,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Red
155,A707442,2015-08-15,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
156,A682599,2014-07-03,Adoption,Cat,Spayed Female,4 months,Domestic Longhair,Calico
157,A685452,2014-08-11,Transfer,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
158,A688067,2014-09-15,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
159,A714069,2015-12-16,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
160,A705924,2015-07-29,Transfer,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
161,A717167,2016-01-23,Adoption,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
162,A711639,2015-09-10,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
163,A716760,2015-12-06,Adoption,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
164,A709048,2015-08-08,Adoption,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
165,A719048,2016-01-13,Return_to_owner,Dog,Spayed Female,8 years,Maltese,White
166,A707437,2015-07-19,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
167,A706387,2015-07-06,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
168,A720668,2016-02-15,Return_to_owner,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
169,A679341,2014-05-31,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
170,A690519,2014-10-23,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
171,A708769,2015-08-01,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
172,A681462,2014-08-10,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
173,A666444,2013-11-04,Transfer,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
174,A701153,2015-06-25,Adoption,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
175,A710071,2015-09-01,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
176,A714602,2015-10-29,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
177,A700707,2015-04-20,Adoption,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
178,A702563,2015-05-25,Return_to_owner,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
179,A679441,2014-05-21,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
180,A715729,2015-11-09,Return_to_owner,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
181,A716575,2015-12-22,Transfer,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
182,A714462,2015-11-14,Return_to_owner,Dog,Spayed Female,1 year,Pointer Mix,White/Black
183,A717429,2015-12-09,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
184,A687336,2014-09-03,Transfer,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
185,A713364,2015-11-13,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
186,A701999,2015-05-12,Adoption,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
187,A664304,2013-10-03,Transfer,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
188,A698066,2015-03-07,Transfer,Dog,Spayed Female,4 years,German Shepherd Mix,White
189,A680585,2014-07-16,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
190,A699715,2015-05-13,Transfer,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
191,A702246,2015-05-15,Adoption,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
192,A711918,2015-09-19,Adoption,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
193,A676430,2014-11-23,Adoption,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
194,A677577,2014-05-01,Adoption,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
195,A683666,2015-09-01,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
196,A713754,2015-10-27,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
197,A703631,2015-07-03,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
198,A676209,2014-07-24,Adoption,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
199,A667508,2013-11-19,Return_to_owner,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
200,A671105,2014-01-21,Transfer,Cat,Unknown,1 year,Domestic Longhair Mix,Black
201,A676056,2014-04-10,Return_to_owner,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
202,A667963,2013-11-30,Adoption,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
203,A702207,2015-05-10,Euthanasia,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
204,A672065,2014-04-08,Adoption,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
205,A688852,2014-10-18,Adoption,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
206,A705885,2015-06-27,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
207,A670949,2014-02-01,Return_to_owner,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
208,A665666,2013-12-27,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
209,A714575,2015-10-31,Transfer,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
210,A690480,2014-10-22,Transfer,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
211,A691636,2014-11-13,Adoption,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
212,A678482,2014-05-14,Adoption,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
213,A687785,2014-12-30,Adoption,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
214,A716839,2015-11-27,Return_to_owner,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
215,A718547,2016-01-11,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
216,A687989,2014-09-12,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
217,A694408,2015-05-28,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
218,A698940,2015-03-21,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
219,A666074,2013-10-30,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
220,A675549,2014-04-08,Transfer,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
221,A682131,2014-06-24,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
222,A674737,2014-05-27,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
223,A719876,2016-02-02,Transfer,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
224,A676626,2014-05-30,Adoption,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
225,A666478,2013-11-04,Adoption,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
226,A683507,2014-07-15,Adoption,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
227,A487470,2014-01-20,Euthanasia,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
228,A665661,2015-09-07,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
229,A668260,2013-12-02,Transfer,Dog,Spayed Female,5 years,Great Dane,Black/White
230,A716964,2015-11-29,Return_to_owner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White
231,A701029,2015-05-01,Return_to_owner,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown
232,A668506,2015-11-03,Return_to_owner,Dog,Neutered Male,7 years,German Shepherd,Brown/Black
233,A684709,2014-07-28,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
234,A616229,2015-11-21,Adoption,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White
235,A680336,2014-07-12,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
236,A701898,2015-05-10,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black
237,A666971,2013-11-14,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
238,A691605,2014-11-08,Return_to_owner,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle
239,A703244,2015-05-26,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
240,A705111,2015-06-24,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
241,A685460,2014-08-19,Adoption,Cat,Neutered Male,7 years,Siamese Mix,Flame Point
242,A716890,2015-12-06,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
243,A715741,2015-11-19,Adoption,Dog,Neutered Male,3 years,Chow Chow Mix,Red
244,A676334,2014-04-22,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
245,A668122,2013-12-01,Adoption,Dog,Spayed Female,7 years,English Pointer,Liver/White
246,A702356,2015-05-24,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue Tabby
247,A664842,2013-11-09,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
248,A709067,2015-08-05,Return_to_owner,Dog,Intact Female,5 months,Boxer Mix,Black/White
249,A608918,2015-06-02,Transfer,Dog,Neutered Male,4 years,Basset Hound/Labrador Retriever,Black/White
250,A651596,2014-03-06,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Buff
251,A720190,2016-02-07,Transfer,Dog,Spayed Female,7 years,Airedale Terrier Mix,Tricolor
252,A676609,2014-07-06,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown
253,A666504,2013-12-11,Transfer,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
254,A693272,2015-01-31,Adoption,Dog,Neutered Male,1 month,Beagle/German Shepherd,Black/Brown
255,A711607,2015-09-20,Adoption,Cat,Neutered Male,2 months,Manx Mix,White/Black
256,A713337,2015-10-06,Transfer,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue
257,A672758,2014-07-16,Transfer,Dog,Spayed Female,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White
258,A658690,2013-10-19,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
259,A708390,2015-08-02,Adoption,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White
260,A703383,2015-05-28,Transfer,Dog,Spayed Female,10 years,Cocker Spaniel,Buff
261,A689749,2014-10-18,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
262,A699816,2015-04-11,Adoption,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan
263,A701791,2015-07-19,Adoption,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby/White
264,A625690,2014-07-21,Return_to_owner,Dog,Spayed Female,7 years,Rat Terrier Mix,White/Black
265,A686406,2014-08-25,Adoption,Dog,Neutered Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black
266,A710318,2015-09-17,Transfer,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White
